"DateTime","Dota 2","Counter-Strike 2","PUBG: BATTLEGROUNDS","Hogwarts Legacy","New World","Baldur's Gate 3","Cyberpunk 2077","ELDEN RING","Goose Goose Duck","Lost Ark"
"2012-01-20 00:00:00",18764,,,,,,,,,
"2012-01-21 00:00:00",18764,,,,,,,,,
"2012-01-22 00:00:00",18764,,,,,,,,,
"2012-01-23 00:00:00",19170,,,,,,,,,
"2012-01-24 00:00:00",18926,,,,,,,,,
"2012-01-25 00:00:00",18999,,,,,,,,,
"2012-01-26 00:00:00",21080,,,,,,,,,
"2012-01-27 00:00:00",23112,,,,,,,,,
"2012-01-28 00:00:00",23539,,,,,,,,,
"2012-01-29 00:00:00",23022,,,,,,,,,
"2012-01-30 00:00:00",21220,,,,,,,,,
"2012-01-31 00:00:00",20421,,,,,,,,,
"2012-02-01 00:00:00",20784,,,,,,,,,
"2012-02-02 00:00:00",20601,,,,,,,,,
"2012-02-03 00:00:00",24123,,,,,,,,,
"2012-02-04 00:00:00",24765,,,,,,,,,
"2012-02-05 00:00:00",24341,,,,,,,,,
"2012-02-06 00:00:00",20716,,,,,,,,,
"2012-02-07 00:00:00",21282,,,,,,,,,
"2012-02-08 00:00:00",20790,,,,,,,,,
"2012-02-09 00:00:00",21224,,,,,,,,,
"2012-02-10 00:00:00",23509,,,,,,,,,
"2012-02-11 00:00:00",23587,,,,,,,,,
"2012-02-12 00:00:00",21358,,,,,,,,,
"2012-02-13 00:00:00",21378,,,,,,,,,
"2012-02-14 00:00:00",10515,,,,,,,,,
"2012-02-15 00:00:00",22142,,,,,,,,,
"2012-02-16 00:00:00",23965,,,,,,,,,
"2012-02-17 00:00:00",25875,,,,,,,,,
"2012-02-18 00:00:00",26129,,,,,,,,,
"2012-02-19 00:00:00",25313,,,,,,,,,
"2012-02-20 00:00:00",24898,,,,,,,,,
"2012-02-21 00:00:00",23934,,,,,,,,,
"2012-02-22 00:00:00",23196,,,,,,,,,
"2012-02-23 00:00:00",23331,,,,,,,,,
"2012-02-24 00:00:00",24787,,,,,,,,,
"2012-02-25 00:00:00",25703,,,,,,,,,
"2012-02-26 00:00:00",25956,,,,,,,,,
"2012-02-27 00:00:00",23389,,,,,,,,,
"2012-02-28 00:00:00",23090,204,,,,,,,,
"2012-02-29 00:00:00",21986,,,,,,,,,
"2012-03-01 00:00:00",23921,,,,,,,,,
"2012-03-02 00:00:00",27976,,,,,,,,,
"2012-03-03 00:00:00",27962,,,,,,,,,
"2012-03-04 00:00:00",24636,,,,,,,,,
"2012-03-05 00:00:00",24488,,,,,,,,,
"2012-03-06 00:00:00",26116,,,,,,,,,
"2012-03-07 00:00:00",26014,,,,,,,,,
"2012-03-08 00:00:00",26343,,,,,,,,,
"2012-03-09 00:00:00",28451,460,,,,,,,,
"2012-03-10 00:00:00",30030,,,,,,,,,
"2012-03-11 00:00:00",30095,,,,,,,,,
"2012-03-12 00:00:00",26781,,,,,,,,,
"2012-03-13 00:00:00",25122,,,,,,,,,
"2012-03-14 00:00:00",27043,,,,,,,,,
"2012-03-15 00:00:00",28397,,,,,,,,,
"2012-03-16 00:00:00",31583,728,,,,,,,,
"2012-03-17 00:00:00",32405,678,,,,,,,,
"2012-03-18 00:00:00",31417,570,,,,,,,,
"2012-03-19 00:00:00",27437,448,,,,,,,,
"2012-03-20 00:00:00",27422,225,,,,,,,,
"2012-03-21 00:00:00",27558,421,,,,,,,,
"2012-03-22 00:00:00",31865,653,,,,,,,,
"2012-03-23 00:00:00",36133,1035,,,,,,,,
"2012-03-24 00:00:00",38596,1081,,,,,,,,
"2012-03-25 00:00:00",36933,848,,,,,,,,
"2012-03-26 00:00:00",34441,700,,,,,,,,
"2012-03-27 00:00:00",33528,572,,,,,,,,
"2012-03-28 00:00:00",36163,537,,,,,,,,
"2012-03-29 00:00:00",37128,1263,,,,,,,,
"2012-03-30 00:00:00",39910,1238,,,,,,,,
"2012-03-31 00:00:00",40661,1041,,,,,,,,
"2012-04-01 00:00:00",39847,834,,,,,,,,
"2012-04-02 00:00:00",35849,674,,,,,,,,
"2012-04-03 00:00:00",33762,603,,,,,,,,
"2012-04-04 00:00:00",34628,539,,,,,,,,
"2012-04-05 00:00:00",38702,490,,,,,,,,
"2012-04-06 00:00:00",37997,,,,,,,,,
"2012-04-07 00:00:00",37414,,,,,,,,,
"2012-04-08 00:00:00",35948,,,,,,,,,
"2012-04-09 00:00:00",34111,,,,,,,,,
"2012-04-10 00:00:00",34086,,,,,,,,,
"2012-04-11 00:00:00",36582,,,,,,,,,
"2012-04-12 00:00:00",38184,,,,,,,,,
"2012-04-13 00:00:00",47205,1895,,,,,,,,
"2012-04-14 00:00:00",44638,1899,,,,,,,,
"2012-04-15 00:00:00",42522,1472,,,,,,,,
