"DateTime","Dota 2","Counter-Strike 2","PUBG: BATTLEGROUNDS","Hogwarts Legacy","New World","Baldur's Gate 3","Cyberpunk 2077","ELDEN RING","Goose Goose Duck","Lost Ark"
"1970-03-10 00:00:00",477271,17605,2712416,23251,145362,202333,27625,139215,5557,458832
"1970-03-11 00:00:00",477645,16441,2731402,22697,127772,188669,25329,126122,5443,393305
"1970-03-12 00:00:00",494207,16271,2646691,24085,101396,188577,24856,122864,4807,500139
"1970-03-13 00:00:00",483755,21291,2670202,29160,119135,192932,24546,126523,4244,536047
"1970-03-14 00:00:00",516188,50533,2802807,33995,112204,241265,28798,158782,3620,572602
"1970-03-15 00:00:00",536431,48271,2697444,23613,111700,258655,29731,152245,3571,556187
"1970-03-16 00:00:00",524991,50533,2603557,21869,118153,194625,23144,110981,3748,566673
"1970-03-17 00:00:00",484336,46933,2597254,19986,122808,176669,22476,107748,4872,560956
"1970-03-18 00:00:00",473997,25474,2611750,19422,106778,169501,20013,102381,5409,487900
"1970-03-19 00:00:00",499550,21163,2546480,20723,104364,164967,19505,99343,4545,499313
"1970-03-20 00:00:00",496673,21219,2652781,25464,98664,172523,20110,106998,4349,542609
"1970-03-21 00:00:00",513287,21111,2736269,29772,118635,212672,25110,128222,4355,586540
"1970-03-22 00:00:00",546925,20632,2608166,25677,111651,232265,25777,127344,4323,568246
"1970-03-23 00:00:00",567901,22880,2464229,19901,119182,173953,18071,92721,3654,567373
"1970-03-24 00:00:00",508128,22968,2100904,18189,124192,158630,17188,88789,4474,493101
"1970-03-25 00:00:00",492522,21888,2519524,17253,116611,152088,16725,86217,4483,573879
"1970-03-26 00:00:00",581615,19577,2508880,17820,114486,147491,16656,83155,4189,578536
"1970-03-27 00:00:00",502593,18505,2724247,23171,111506,151471,17917,89290,4549,588550
"1970-03-28 00:00:00",515093,18543,2807003,26943,109349,185672,22532,108490,4364,637078
"1970-03-29 00:00:00",546946,18418,2613261,20570,90479,211958,22965,106427,4392,623896
"1970-03-30 00:00:00",555245,20597,2466420,18482,98483,166088,17230,81727,4895,591542
"1970-03-31 00:00:00",481271,20396,2435565,17545,114609,139283,15427,75594,5687,574594
"1970-04-01 00:00:00",473205,20234,2402488,16771,115743,148976,14756,73972,5453,508050
"1970-04-02 00:00:00",485706,18273,2327636,17577,114328,133378,14900,80599,5660,423930
"1970-04-03 00:00:00",488164,18847,2551186,19704,113348,139582,15621,82817,5011,481919
"1970-04-04 00:00:00",497371,18933,2747269,23278,112688,181727,20165,101265,5800,563381
"1970-04-05 00:00:00",570919,18997,2522023,17704,97026,203029,20778,99061,5983,579329
"1970-04-06 00:00:00",561942,21512,2331646,16630,114946,155920,14485,92058,7178,583597
"1970-04-07 00:00:00",520709,21431,2392156,16051,117504,134846,13848,73505,8403,584612
"1970-04-08 00:00:00",508082,23465,2350681,16662,109256,126885,13184,68870,9191,524134
"1970-04-09 00:00:00",508265,23465,2404535,16927,103703,125228,13280,71525,8401,441528
"1970-04-10 00:00:00",516568,23597,2634331,19568,101554,140957,14201,74568,7685,440460
"1970-04-11 00:00:00",551611,22501,2486554,21666,101543,172611,18646,87387,8235,648260
"1970-04-12 00:00:00",581794,20615,2347833,16425,101027,189255,19368,88609,6872,646417
"1970-04-13 00:00:00",570259,27553,2222281,15288,108032,145246,13285,73812,7401,673024
"1970-04-14 00:00:00",510539,23130,2226291,14711,109344,126646,13295,63803,10009,668525
"1970-04-15 00:00:00",526072,22426,2461794,13993,96143,123116,13600,62093,10954,615744
"1970-04-16 00:00:00",519706,21727,2433921,15026,90873,119234,13179,59878,9787,733251
"1970-04-17 00:00:00",524665,22137,2438825,17080,87698,125687,14099,62770,8905,709234
"1970-04-18 00:00:00",544196,22319,2339259,19568,86191,,18155,76917,9275,704632
"1970-04-19 00:00:00",570239,22826,2260520,19198,88943,,19080,77475,8950,801364
"1970-04-20 00:00:00",582526,25803,2150591,14877,94357,,16444,56575,8951,737605
"1970-04-21 00:00:00",520141,25358,2144661,13753,97840,,19517,54643,10353,715223
"1970-04-22 00:00:00",513151,25377,2124506,13294,90845,,19273,52494,10813,666383
"1970-04-23 00:00:00",507429,23761,1877716,13750,83854,,18847,54636,12663,683981
"1970-04-24 00:00:00",455531,22429,2428897,15899,82206,,21685,55629,12208,708926
"1970-04-25 00:00:00",523012,22092,2408125,18455,77925,,24656,66351,13238,798621
"1970-04-26 00:00:00",702792,20909,2222605,13838,78813,,25430,66906,16528,819349
"1970-04-27 00:00:00",567230,23713,1989003,12943,83299,,22813,55272,12509,829155
"1970-04-28 00:00:00",521723,23469,1945381,12536,86467,,17969,51013,15749,837419
"1970-04-29 00:00:00",492458,23170,1954853,12810,76252,,17082,48571,15348,451615
"1970-04-30 00:00:00",502235,22656,1992584,12469,78279,,16192,46994,14427,800400
"1970-05-01 00:00:00",512647,21486,2298063,13865,71395,,16732,49982,11143,843598
"1970-05-02 00:00:00",541289,21147,2306962,16307,75176,,20943,58560,14401,885968
"1970-05-03 00:00:00",580644,20912,2167270,12457,74757,,21589,60338,14521,880727
"1970-05-04 00:00:00",573938,22622,1976595,11837,79671,,15035,45795,11809,873694
"1970-05-05 00:00:00",494307,22859,1911117,11163,81034,,14399,44689,15867,727629
"1970-05-06 00:00:00",500439,18249,1940222,10643,70241,,13538,43418,17494,605751
"1970-05-07 00:00:00",330197,20428,1857855,11247,67963,,14061,42476,15144,551016
"1970-05-08 00:00:00",356114,23400,1861128,13096,66223,,14719,44977,11239,449382
"1970-05-09 00:00:00",653867,24745,2028515,14582,65534,,18422,51559,12731,273010
"1970-05-10 00:00:00",707938,26396,1978515,12773,62825,,19642,52405,11839,279843
"1970-05-11 00:00:00",654132,27994,1990013,11185,63288,,14061,49052,12786,306156
"1970-05-12 00:00:00",548707,28208,1920870,10626,64503,,13310,41274,17737,301666
"1970-05-13 00:00:00",530955,25071,1854643,10545,55130,,13438,40235,21492,289060
"1970-05-14 00:00:00",534348,31359,1599724,10527,47002,,12867,40219,19020,360567
"1970-05-15 00:00:00",509245,27365,2179344,12329,44542,,13552,41239,15905,293284
"1970-05-16 00:00:00",539328,27971,2120708,14205,46062,,16476,49357,16596,348754
"1970-05-17 00:00:00",588216,27057,1996661,11333,51023,,17961,51228,12938,341678
"1970-05-18 00:00:00",577387,31275,1823331,10881,45287,,13009,40782,13125,283820
"1970-05-19 00:00:00",505544,31343,1808215,10477,48228,,12579,39669,17809,226472
"1970-05-20 00:00:00",505046,30480,1807300,10352,38864,,11978,38827,21362,186986
"1970-05-21 00:00:00",508769,28874,1824830,12594,39330,,12411,39814,17683,173512
"1970-05-22 00:00:00",483019,27372,1838953,16469,38478,,13051,40931,14399,215308
"1970-05-23 00:00:00",517844,27760,1885965,20128,38786,,16647,48232,15158,254128
"1970-05-24 00:00:00",542906,26010,1725044,17478,39012,,17908,50686,12632,274205
"1970-05-25 00:00:00",531279,29060,1603647,18354,40476,,14728,39741,12280,280685
"1970-05-26 00:00:00",685503,28927,1582474,15584,43177,,13534,39266,16706,283863
"1970-05-27 00:00:00",476118,27930,1594080,14908,40187,,12516,37757,18892,292516
"1970-05-28 00:00:00",478642,27010,1567378,14778,37439,,12196,38334,16773,278280
"1970-05-29 00:00:00",489440,26002,1802768,17282,36421,,12053,40316,17255,305384
"1970-05-30 00:00:00",532566,25946,1806076,20058,33864,,14919,47304,13755,313083
"1970-05-31 00:00:00",574132,24670,1681088,15648,33457,,15011,49352,8375,285210
"1970-06-01 00:00:00",547638,28609,1580484,14698,34238,,12006,39401,9439,268757
"1970-06-02 00:00:00",500219,29421,1575365,14379,35857,,11372,39247,15007,268748
"1970-06-03 00:00:00",502393,29341,1540243,14411,36190,,11390,38561,18438,251334
"1970-06-04 00:00:00",499432,27271,1558344,14087,33197,,12196,38246,12605,151989
"1970-06-05 00:00:00",504181,27272,1684366,16502,31260,,11903,39789,9230,170008
"1970-06-06 00:00:00",571497,27283,1734247,18887,28253,,14364,46293,15760,204940
"1970-06-07 00:00:00",686016,25976,1570216,14523,26955,,15366,48106,10662,201638
"1970-06-08 00:00:00",693538,29566,1483945,13565,31466,,10982,38945,8472,201865
"1970-06-09 00:00:00",611280,29562,1500954,12943,34158,,10550,37343,14428,164256
"1970-06-10 00:00:00",598512,27828,1533069,12119,30892,,10866,37321,17851,230377
"1970-06-11 00:00:00",572596,26654,1489915,12269,30079,,11138,36960,12571,242342
"1970-06-12 00:00:00",578418,26292,1625791,13977,30062,,12006,39217,9336,267406
"1970-06-13 00:00:00",618452,26210,1652570,16264,29596,,15336,45096,9570,290788
